"","","","","","",""
"2049620","GOSFORD","22/11/2023","14:11 PM","179","42","Environmental"
"2049629","BANKSTOWN","22/11/2023","14:11 PM","942","108","Equipment fault"
"2049656","SUTHERLAND","22/11/2023","16:11 PM","57","50","Environmental"
"2049837","MANLY","23/11/2023","18:11 PM","73","74","Environmental"
"2049852","MANLY","23/11/2023","19:11 PM","1760","83","Environmental"
"2049871","SUTHERLAND","23/11/2023","21:11 PM","66","161","Environmental"
"2049843","NEWCASTLE","23/11/2023","22:11 PM","56","107","Equipment fault"
"2049889","WOOLLAHRA","23/11/2023","23:11 PM","54","121","Environmental"
"2049898","GOSFORD","24/11/2023","2:11 AM","800","80","Equipment fault"
"2049911","CESSNOCK","24/11/2023","3:11 AM","2396","174","Environmental"
"2049916","SUTHERLAND","24/11/2023","5:11 AM","57","139","Environmental"
"2049912","GOSFORD","24/11/2023","6:11 AM","115","118","Equipment fault"
"2050021","SUTHERLAND","24/11/2023","12:11 PM","54","57","Environmental"
"2050046","HORNSBY","24/11/2023","14:11 PM","1347","145","Equipment fault"
"2049948","RYDE","24/11/2023","18:11 PM","66","6","Environmental"
"2050088","NORTH SYDNEY","24/11/2023","21:11 PM","100","758","Equipment fault"
"2050093","SYDNEY","24/11/2023","22:11 PM","66","234","Environmental"
"2050098","BANKSTOWN","25/11/2023","0:11 AM","1272","122","Equipment fault"
"2050183","GOSFORD","25/11/2023","15:11 PM","112","66","Environmental"
"2050169","KU-RING-GAI","25/11/2023","16:11 PM","73","120","Environmental"
"2050197","SOUTH SYDNEY","25/11/2023","16:11 PM","74","55","Environmental"
"2050232","GOSFORD","26/11/2023","0:11 AM","422","129","Equipment fault"
"2050273","SOUTH SYDNEY","26/11/2023","10:11 AM","93","308","Equipment fault"
"2050285","PORT STEPHENS","26/11/2023","12:11 PM","1347","90","Equipment fault"
"2050300","LANE COVE","26/11/2023","13:11 PM","1847","72","Equipment fault"
"2050309","CESSNOCK","26/11/2023","14:11 PM","97","217","Environmental"
"2050336","LAKE MACQUARIE","26/11/2023","19:11 PM","61","66","Equipment fault"
"2050259","RANDWICK","26/11/2023","21:11 PM","67","92","Equipment fault"
"2050654","SOUTH SYDNEY","28/11/2023","4:11 AM","694","50","Equipment fault"
"2050657","SOUTH SYDNEY","28/11/2023","6:11 AM","66","989","Equipment fault"
"2050679","RYDE","28/11/2023","10:11 AM","93","159","Third party"
"2050845","MARRICKVILLE","28/11/2023","15:11 PM","66","66","Equipment fault"
"2050885","GOSFORD","28/11/2023","19:11 PM","76","84","Environmental"
"2050939","ROCKDALE","29/11/2023","8:11 AM","94","165","Equipment fault"
"2051006","RYDE","29/11/2023","12:11 PM","76","64","Environmental"
"2051074","CANTERBURY","29/11/2023","15:11 PM","79","20","Environmental"
"2051092","SINGLETON","29/11/2023","15:11 PM","790","57","Environmental"
"2051094","SINGLETON","29/11/2023","15:11 PM","754","88","Environmental"
"2051097","SINGLETON","29/11/2023","15:11 PM","54","224","Lightning"
"2051130","HORNSBY","29/11/2023","16:11 PM","306","252","Equipment fault"
"2051129","SUTHERLAND","29/11/2023","16:11 PM","1240","116","Environmental"
"2051159","SUTHERLAND","29/11/2023","16:11 PM","1584","181","Environmental"
"2051271","KOGARAH","29/11/2023","16:11 PM","103","484","Environmental"
"2051150","SUTHERLAND","29/11/2023","16:11 PM","788","262","Equipment fault"
"2051115","HORNSBY","29/11/2023","16:11 PM","1088","93","Environmental"
"2051171","HURSTVILLE","29/11/2023","16:11 PM","1060","204","Lightning"
"2051175","CESSNOCK","29/11/2023","16:11 PM","2396","233","Environmental"
